feature_id	feature_name	bioType	annotationLevel	SAMPLE_01	SAMPLE_02	SAMPLE_03	SAMPLE_04	SAMPLE_05	SAMPLE_06	SAMPLE_07	SAMPLE_08	SAMPLE_09	SAMPLE_10	SAMPLE_11	SAMPLE_12
FEAT00000	Feature0	protein_coding	1	6601.959032093218	46713.807660365645	5710.395618692698	165.27211214387205	3773.744143170369	19611.661471891806	1800.6212068028967	22210.437543420332	9180.065846066127	6443.243481054868	1887.4884637570824	1201.9564283434945
FEAT00001	Feature1	protein_coding	2	1907.5223781906807	3390.1236738755224	7765.430532442112	6460.944114769411	1764.4557146846585	3414.033804195532	6103.50710301789	163.1562154043959	763.0639181381025	722.431070605314	2109.7704285827235	1855.7052831226838
FEAT00002	Feature2	protein_coding	2	1916.8807801758492	634.1843919682574	10247.758004376768	5036.99879667256	158.86694358282813	3132.2990027449614	402.8877357882051	65554.26262217184	1348.575156691556	1507.959899120413	3564.3714337048377	2139.056508795143
FEAT00003	Feature3	protein_coding	1	2761.3614971996167	49718.06937451691	4610.72937776625	13801.781469614043	23363.73460757128	531.5794325388757	64284.617002672916	10610.448815529771	17221.85198515703	650.1905097066984	13397.44286388405	6476.926244993152
FEAT00004	Feature4	protein_coding	2	1170.571118981902	187485.88682632303	8542.25317040114	2001.9671731946144	4368.655464017845	15862.179310432108	23575.491256594905	8784.43426025057	27584.851515526458	43499.17227872414	334.24927011916657	1287.5067912590182
FEAT00005	Feature5	protein_coding	1	568.9018988952294	3678.060576258741	41485.9944364822	10007.894319414874	470.30667901152736	1821.1302330674775	19677.945927593828	1187.1455867171305	2596.5273129556513	5345.488370712308	116.43118719740728	12572.44699307284
FEAT00006	Feature6	protein_coding	3	5722.533931792933	8598.528423841202	530.8146807561124	775.5808098156184	1055.4264656600642	4851.372390269107	3507.382874887763	3889.6315122130973	77737.30030486615	32398.49134456352	847.0512963403355	953.0770626929223
FEAT00007	Feature7	protein_coding	3	67799.44892784221	1746.6436948842618	36971.76595237283	54913.77376588506	1164.1794343384445	1902.500245620335	3587.088364427945	652.7730544804555	531.575843004168	1500.949255109232	14340.681797941741	1379.9362397165628
FEAT00008	Feature8	protein_coding	1	2131.5818765541526	1337.5126487416624	264.88417417869687	44706.601628703014	45.60314787555702	952.0982040250811	8448.177143376684	250.5060436521413	9177.78768941155	29442.34836118399	657.5032660033328	4497.692247200059
FEAT00009	Feature9	protein_coding	3	418.5611545629066	7693.192711672479	3620.6721225216816	4551.436519628815	36107.269705451916	7209.745980457003	34813.28586931916	9666.74974298291	356.2390946211582	4941.641736862733	7450.161714282957	228.78533518027234
FEAT00010	Feature10	protein_coding	3	34036.73585983612	3488.776370773039	5987.217386667794	614.6825876385761	3517.2791421759625	5295.005675126074	1715.5801572814967	3568.4859388796544	67.99502370432042	35816.826948923874	415.2754574865004	60.72445008761228
FEAT00011	Feature11	protein_coding	1	547.6128467416709	686.3279361910623	8206.390869871759	595.2766495999689	5142.954732169789	548.0844747392774	163744.03902990688	8223.938317016573	104219.80198556774	496.0558109261046	10171.232979461476	550.7228137403238
FEAT00012	Feature12	protein_coding	2	8720.02267794691	10427.988143834604	174.40623650234136	397.514456429876	376.59513232490184	205.10363534135502	823.660001594551	544.941263773456	227.51273466338503	3655.506283406636	8180.322396975895	287.27227845637645
FEAT00013	Feature13	protein_coding	2	1122.9390014942628	3102.723725588625	2014.1472922447804	865.6297039429088	13130.003589119115	14019.177318362212	10369.742005725147	2095.8080532103027	108862.55259154562	69903.03897247615	1477.4151297443445	2452.429953022689
FEAT00014	Feature14	protein_coding	2	25845.273635792015	721.5673573308528	6232.279243674571	3303.8834376764703	857.0857711912242	2002.68731328306	179.42821706916985	1142.4432716982706	83.63153977321534	183847.3806119514	45598.6711754117	27679.923626255302
FEAT00015	Feature15	protein_coding	1	5218.929919453603	18275.933934814846	29892.53986358962	18836.834792531383	15793.345361786493	585.1173186279598	6533.374767729496	1153.2810330762613	360.3187753669808	386.4169680029718	6508.481267091157	20046.06185003403
FEAT00016	Feature16	protein_coding	1	256.6635380494809	69648.91340321538	42337.18719812994	1515.1628381608336	1305.3771738332462	2632.771954410601	17555.099207395746	1505.3313766707054	409.2352603990375	5560.464238203251	72.75067505372216	3855.3639012928734
FEAT00017	Feature17	protein_coding	3	24087.352308043857	5180.519756756856	12170.005825683993	7262.00605873057	11065.018974862744	3874.848247122311	670.195339326867	1990.5809756930612	2612.6719777573303	28737.27627433819	55662.233271147124	6355.662579441124
FEAT00018	Feature18	protein_coding	1	768.963807126521	801.5699277507016	2127.053095581344	36309.529058119646	5443.8004944209915	2698.362623692691	752.1813893895792	14592.780777053278	5018.41142685914	2720.578919120863	3590.9163145819766	62052.04714940745
