feature_id	feature_name	SAMPLE_01	SAMPLE_02	SAMPLE_03	SAMPLE_04	SAMPLE_05	SAMPLE_06	SAMPLE_07	SAMPLE_08	SAMPLE_09	SAMPLE_10	SAMPLE_11	SAMPLE_12
IS_0	IS_0	985.191301549294	1026.428027321844	911.7025465255294	1042.3020829264967	1012.6360871300476	1012.1914226867216	948.2936840685201	1077.38744259088	992.1814749731313	995.5955085050574	1034.551205455586	994.0421013825282
IS_1	IS_1	973.8775917476571	1020.2068518514924	968.8730337327216	1022.7897464918753	1004.2170837794042	1034.582931310659	962.8261451030336	1038.2145816344246	1009.0084797534207	1060.573617557144	980.0035827665199	1056.974621797087
IS_2	IS_2	1021.5852504523035	1024.2054978203676	977.6742611219382	1017.1220389117316	1020.5500792461041	974.5002872937885	964.493512231628	976.276121574101	1044.8635635770997	1004.8002245034678	1028.7368414177506	1008.8621594918692
IS_3	IS_3	1003.5638875026791	1006.8095470221623	987.3927683853398	1037.4546376358096	1005.3063635804518	1006.8939768167553	957.5306420258403	1009.4724728702595	979.2826835503159	984.624428803382	1031.794712556247	966.4914589978994
IS_4	IS_4	993.8597424385864	1019.2784491296667	1035.3251700738977	984.0923633100008	1009.7911040445555	1008.7580690811614	965.3662634797703	934.3555977217518	940.8677526792541	1018.3853240159087	1003.129592647887	958.8876155744225
MET0000	MET0000	58.16174924523782	908.2493295945518	351.1628879466298	2117.4526283409396	2169.3608003386325	200.42731049887993	210.1486567109772	555.501816175204	978.9079526897159	265.75712937384185	381.95873642554153	927.2152220048861
MET0001	MET0001	736.7571432765608	1821.7263621769364	587.8197608155295	148.19097648249436	50.616957667259875	1184.6732755096791	291.483634833108	286.31818907331865	307.3713335509823	63.806465374473035	271.39515927536644	18.02541525783476
MET0002	MET0002	267.3741440747113	146.0195906293581	4173.44910605605	757.6838376554279	336.70352820251514	534.1203664181934	1071.1679848398403	172.75116675260318	329.7282949563243	282.79891568261246	9257.818066488773	478.0151526948258
MET0003	MET0003	38.98343980959862	1163.896408388574	10512.524300586512	134.73584741374665	31555.938955189114	404.2254976123799	1495.917792106283	218.01110013873793	313.0850229704254	95.76868809402097	118.68398701937342	31.093997985933647
MET0004	MET0004	1785.7863119438903	105.81886507112834	688.1253881113249	654.589067583903	195.6227002749495	461.9727175135498	387.39658825541926	236.20332015279828	462.6560900614222	463.13954769396827	123.42976009697819	87.75550047088456
MET0005	MET0005	152.4054105491801	504.68518704105503	2398.455831859724	2671.264084503534	640.1261035422492	1399.6296628342313	505.29103375806807	1700.9639108334916	508.20570605921745	705.1790011693618	304.97942009077883	430.37662547784333
