paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC13461360,Nature Biotechnology,nature,2,a,histogram_density,LB,UNKNOWN,none,white,na,na,na,na,na,UNKNOWN,none,na,na,1,pastel,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,0,wide,medium,"Fig 1 of this paper is a 100 px GIF thumbnail, not reviewable. Panel a combines a schematic with one filled histogram; style read from the histogram",PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,b,violin,LB,UNKNOWN,none,white,box_whisker,no,na,na,na,UNKNOWN,none,na,na,2,muted,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,0,square,low,four small violin subplots share printed letter b; inner quartile markers faint at web resolution,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,c,bar,LB,UNKNOWN,none,white,none,yes,open,small,na,UNKNOWN,none,na,na,2,mixed,na,na,lower,bold,larger,sans,regular,no,none,no,no,dense,45,wide,medium,grey bars with one highlighted green bar; open circle replicate points,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,d,bar,LB,UNKNOWN,none,white,none,no,na,na,na,UNKNOWN,inside,no,2,2,mixed,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,0,wide,medium,horizontal bars; categorical labels on y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,e,bar,LB,UNKNOWN,none,white,bars,yes,filled,small,na,UNKNOWN,none,na,na,1,muted,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,45,square,medium,error bar caps not resolvable at web resolution,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,f,grouped_bar,LB,UNKNOWN,none,white,bars,yes,filled,small,na,UNKNOWN,outside_right,no,2,2,muted,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,45,square,medium,legend has a heading word above its entries,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,g,bar,LB,UNKNOWN,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,2,muted,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,0,square,low,overlaid points faint at web resolution,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461360,Nature Biotechnology,nature,2,h,bar,LB,UNKNOWN,none,white,bars,yes,filled,small,na,UNKNOWN,none,na,na,1,pastel,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,45,square,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC13461360/figures/Fig2.jpg,nature_2
PMC13461361,Nature Biotechnology,nature,4,c,line,box,UNKNOWN,none,white,bars,yes,filled,small,UNKNOWN,UNKNOWN,none,na,na,4,saturated,na,na,lower,bold,larger,sans,regular,yes,none,no,no,dense,45,wide,low,"Figs 1-3 of this paper are 100 px GIF thumbnails, not reviewable. Panels a and b are schematics. Letter c covers a 4x3 grid of small line subplots with shared column titles; one colour per row; grey shaded band highlights part of the x range; point error bars faint",PRIVATE_REFERENCE_ONLY/corpus/PMC13461361/figures/Fig4.jpg,nature_2
PMC13461361,Nature Biotechnology,nature,4,d,dot_bubble,box,UNKNOWN,none,white,na,na,mixed,medium,na,UNKNOWN,outside_right,no,2,0,diverging,blue_white_red,right,lower,bold,larger,sans,regular,yes,none,no,no,dense,45,tall,low,dot size plus diverging colour; size key and colourbar stacked at bottom right; gene labels on y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC13461361/figures/Fig4.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,1,,non-quantitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,"whole-figure schematic per caption; Figs 2 and 3 are 100 px GIF thumbnails, not reviewable",PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig1.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,a,grouped_bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,inside,no,2,2,greys,na,na,lower,bold,larger,sans,regular,no,ns_marks,yes,no,normal,0,square,medium,"open and grey filled bars with black outlines; a few overlaid points are filled, most open",PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,b,grouped_bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,inside,no,2,2,greys,na,na,lower,bold,larger,sans,regular,no,ns_marks,yes,no,normal,0,square,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,c,grouped_bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,inside,no,2,2,greys,na,na,lower,bold,larger,sans,regular,no,ns_marks,yes,no,normal,0,square,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,d,grouped_bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,inside,no,2,2,greys,na,na,lower,bold,larger,sans,regular,no,ns_marks,yes,no,normal,0,square,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,e,bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,none,na,na,1,monochrome_black,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,45,square,medium,open (white) bars with black outline,PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,5,f,bar,LB,UNKNOWN,none,white,bars_caps,yes,open,small,na,UNKNOWN,none,na,na,1,monochrome_black,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,45,square,medium,open (white) bars with black outline,PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig5.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,4,f,dot_strip,box,UNKNOWN,none,white,none,na,filled,medium,na,UNKNOWN,none,na,na,1,monochrome_black,na,na,lower,bold,larger,sans,regular,no,stars,yes,no,normal,90,square,medium,"panels a-e are schematic/micrograph; group median drawn as a plain horizontal line, no error bars; marker glyph differs per group (circle, diamond, square, star); NS labels used alongside stars",PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig4.jpg,nature_2
PMC13461362,Nature Biotechnology,nature,4,g,grouped_bar,LB,UNKNOWN,none,white,bars_caps,yes,mixed,small,na,UNKNOWN,inside,no,2,2,greys,na,na,lower,bold,larger,sans,regular,no,none,no,no,normal,0,wide,medium,"white and grey bars with black outlines; open points over the white bars, filled over the grey",PRIVATE_REFERENCE_ONLY/corpus/PMC13461362/figures/Fig4.jpg,nature_2
PMC13518231,Nature,nature,1,a,grouped_bar,LB,UNKNOWN,none,white,bars_caps,no,na,na,na,regular,inside,no,4,3,saturated,na,na,lower,bold,larger,sans,regular,no,stars,no,no,normal,0,wide,high,dashed horizontal reference line at zero is a legend entry; group labels Cosine/Sine set inside the plot,PRIVATE_REFERENCE_ONLY/corpus/PMC13518231/figures/Fig1.webp,nature_2
