paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC10028007,Cell Metabolism,Cell,1,C,line,LB,out,none,white,bars,na,mixed,medium,UNKNOWN,UNKNOWN,inside,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,D,line,LB,out,none,white,bars,na,mixed,medium,UNKNOWN,UNKNOWN,inside,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,E,grouped_bar,LB,out,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,F,grouped_bar,LB,out,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,G,line,LB,out,none,white,bars,na,mixed,medium,UNKNOWN,UNKNOWN,inside,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,H,line,LB,out,none,white,bars,na,mixed,medium,UNKNOWN,UNKNOWN,inside,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,stars,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,I,grouped_bar,LB,out,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,stars,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,1,J,grouped_bar,LB,out,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,stars,no,no,normal,0,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,2,A,line,LB,out,none,white,bars,na,mixed,medium,UNKNOWN,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,normal,0,wide,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig2.jpg,cell_1
PMC10028007,Cell Metabolism,Cell,2,B,bar,LB,out,none,white,bars,yes,filled,small,na,UNKNOWN,outside_top,no,2,0,monochrome_black,na,na,upper,bold,larger,sans,regular,no,none,no,no,sparse,na,square,medium,more panels not reviewed,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig2.jpg,cell_1
