paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC12490786,Science Translational Medicine,Science,1,C,other_quant,LB,none,none,white,na,na,filled,small,na,UNKNOWN,none,na,na,0,monochrome_black,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,sparse,na,square,medium,flow cytometry density/contour plots with drawn gates and percentage labels; no numeric tick labels so tick_direction read as none,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig1.jpg,science_1
PMC12490786,Science Translational Medicine,Science,1,D,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,below,no,5,5,mixed,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,wide,high,three animal sub-plots share one legend; hatched/checkerboard bar fills plus red and white; dashed vertical dividers between groups,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig1.jpg,science_1
PMC12490786,Science Translational Medicine,Science,2,A,bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,none,na,na,0,monochrome_black,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,wide,high,group headings above bars act as titles; dashed vertical dividers between groups,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig2.jpg,science_1
PMC12490786,Science Translational Medicine,Science,2,B,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,outside_right,no,3,3,monochrome_black,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,square,high,black / checkerboard / white fills rather than colour,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig2.jpg,science_1
PMC12490786,Science Translational Medicine,Science,2,C,bar,LB,out,none,white,bars_caps,yes,filled,small,na,UNKNOWN,none,na,na,4,muted,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,wide,medium,"bar fills colour-coded per adenine (light blue, blue, gold, grey); 'NA' printed where no data; error bars very short, caps visible",PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig2.jpg,science_1
PMC12490786,Science Translational Medicine,Science,2,D,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,outside_right,no,3,3,mixed,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,square,high,dark blue / cyan / grey stack,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig2.jpg,science_1
PMC12490786,Science Translational Medicine,Science,3,A,line,LB,out,none,white,none,na,filled,small,UNKNOWN,UNKNOWN,inside,no,3,3,saturated,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,0,wide,medium,"four time-course sub-plots; broken x axis; grey shaded reference band behind data; black/red/blue series, third series dotted; line weights UNKNOWN at web resolution",PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,science_1
PMC12490786,Science Translational Medicine,Science,3,B,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,below,no,5,5,saturated,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,dense,90,square,medium,three stacked sub-plots (one per animal) sharing one legend below; many dense numeric x labels,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,science_1
PMC12490786,Science Translational Medicine,Science,3,C,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,below,no,3,3,greys,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,0,square,high,black/grey/white stack; dashed vertical dividers between animals,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,science_1
PMC12490786,Science Translational Medicine,Science,3,D,stacked_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,below,no,5,5,mixed,na,na,upper,bold,much_larger,sans,regular,yes,none,no,no,normal,45,wide,high,"three animal sub-plots, checkerboard/white/black/red fills, shared legend below",PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,science_1
