gene_id	geneSymbol	bioType	annotationLevel	3345023_DHP001	3345024_DHP002	3345025_DHP003	3345026_DHP004	3345027_DHP005	3345028_DHP006	3345029_DHP007	3345030_DHP008	3345031_DHP009	3345032_DHP010	3345033_DHP011	3345034_DHP012
ENSMUSG00000069045.11	Ddx3y	protein_coding	2	5.92983620110068	5.89175306852525	5.91439672452424	-6.96337865375025	-6.70141457073807	-6.96239987238298	-4.26144380148927	-3.72177899561355	-6.71991265872733	5.75624889966011	5.77895064129616	5.90997674041847
ENSMUSG00000069049.11	Eif2s3y	protein_coding	2	4.53105518730554	4.74197494592302	4.80856220869879	-6.96337865375025	-6.70141457073807	-6.96239987238298	-4.99840939565547	-6.89170399705586	-6.71991265872733	4.95132436821731	4.82236500167578	4.72117594234338
ENSMUSG00000056673.14	Kdm5d	protein_coding	2	4.3256374815166	4.43831113407178	4.41829821084594	-6.96337865375025	-6.70141457073807	-6.96239987238298	-4.99840939565547	-6.89170399705586	-6.71991265872733	4.44893433231742	4.45577889244285	4.32647003703668
ENSMUSG00000068457.14	Uty	protein_coding	2	3.84072696285716	3.74768685700287	3.75451902260121	-6.96337865375025	-5.11645207001691	-6.96239987238298	-6.58337189637663	-6.89170399705586	-6.71991265872733	3.62704351165546	3.70973614656488	3.70503762316948
ENSMUSG00000086503.4	Xist	lncRNA	2	-0.917778585192234	-3.23574529347864	-2.4834306796468	8.70741588389366	8.93767172176459	8.94519593103267	9.66838787203553	9.19417422528152	9.23205271291113	1.58570271627456	3.67905974742248	2.83856747961723
ENSMUSG00000066632.3	Pgk1-rs7	processed_pseudogene	2	-6.80042163455408	4.49456023108644	2.60826915449001	3.47116617869925	-6.70141457073807	2.50214587795096	3.88013204197588	2.61422661894164	3.78272027635559	3.38371839048902	-6.86106829115962	3.81000404105287
ENSMUSG00000079224.5	Gm6565	processed_pseudogene	2	2.30218401131476	0.906919484995191	-6.87574810242556	0.755941710286984	1.88587540290691	-5.56186194279925	1.95795708066897	0.139514733554861	1.86422306109909	0.91574964454348	-6.86106829115962	-6.62699892519217
ENSMUSG00000096271.1	Ccl21b	protein_coding	3	0.290431795897038	-6.93618501161974	-6.87574810242556	0.887995613007017	0.447519533788273	1.11494995723863	2.2346989364386	-0.337422134429469	-6.71991265872733	1.78989520843353	-6.86106829115962	0.716053509730797
ENSMUSG00000078901.8	Gm14440	protein_coding	2	2.53951742083148	2.87782058137286	3.61158951278162	1.96232412760108	-5.61735030594959	-2.80051219000608	2.01743305861284	-2.33343636300012	1.39996223080522	-7.01048703986985	0.057317943286727	-6.16233065818873
ENSMUSG00000099876.1	Gm29650	lncRNA	2	0.165362650108012	0.412543142611341	0.455168775689057	-6.96337865375025	-6.70141457073807	-6.96239987238298	-6.58337189637663	-6.89170399705586	-6.71991265872733	0.751064192574629	0.0814462141796189	0.428283510309018
ENSMUSG00000020428.13	Gabra6	protein_coding	2	4.22263961518126	0.498443216016988	2.85387264112748	3.55920287750458	-2.61395172948773	-5.37743737166182	-2.49590905512629	4.8826712757462	-6.71991265872733	-1.7250848210076	0.377336448165458	0.965458112075909
ENSMUSG00000030653.17	Gm45837	protein_coding	2	-6.80042163455408	0.38646425051128	-6.87574810242556	-0.0159462642788874	-6.70141457073807	1.12887682198225	0.34096556769872	1.24856340919436	-6.71991265872733	0.85382293595406	0.147024129789101	0.295198923204195
ENSMUSG00000061808.4	Ttr	protein_coding	2	-0.0861761168879523	8.75678458248468	2.60605132924019	7.98640247062633	7.79375341388447	8.69226412375233	7.95427119203846	5.52007177852067	8.61774408381823	-1.22912732634519	2.78459014124909	4.04277196333335
ENSMUSG00000094066.1	Fam205a2	protein_coding	2	1.26005814685352	1.15931750603893	3.03456483148511	-0.135559629132933	2.53124618605221	1.02082177835969	2.15174405959077	1.13697565144862	-6.69134350653056	2.10393204444313	1.49146073447668	-6.62699892519217
ENSMUSG00000068964.5	Gm6361	processed_pseudogene	2	-4.36746222727797	1.33527801628464	2.17099394950488	1.13402145356716	-5.34527076051279	2.26097440670157	-6.55480274417986	1.56952986421542	-0.938028424185842	0.905153363474091	1.90320619877155	2.1254820792642
ENSMUSG00000118425.1	AL844494.1	transcribed_unprocessed_pseudogene	2	-6.27435282288649	-0.284559227699094	1.5241919958466	0.322763219084049	0.446502620345951	0.170176970287032	0.76694853901038	-6.83512046868949	-1.15553449016226	-0.427028129739082	-6.80448476279325	0.838485853826326
ENSMUSG00000096764.1	Gm21985	protein_coding	2	2.08222141480777	0.937382140002012	1.06088983657701	0.109584617804971	0.643058888718297	1.57892910466263	1.4753775159589	-6.89170399705586	1.62704423065156	0.944988513311718	-6.86106829115962	0.233963872665945
ENSMUSG00000094825.8	Gm3194	protein_coding	2	1.06957311578999	-6.93618501161974	-5.56540798181341	1.25482128994448	-6.70141457073807	0.171615657675468	0.0918794896736305	0.235722932810421	0.349187973195497	0.269541316740759	0.0132368748226101	0.586542776734392
ENSMUSG00000069917.7	Hba-a2	protein_coding	2	2.43262276671151	1.9835126012956	-0.636197305811914	-6.96337865375025	4.54931019649144	3.08483312407883	-0.496757948967133	-0.356584175456059	-2.48878750084828	2.53760274144409	-0.711321171654939	2.69817158718387
ENSMUSG00000085791.4	Rpl30-ps9	processed_pseudogene	2	-6.80042163455408	1.00492129932669	-0.26487090295361	1.09796553453814	1.62375594163798	-6.96239987238298	0.577306316843872	0.243543552753708	-2.86791382161488	1.36124605075282	0.987679823452338	-0.356469982811454
ENSMUSG00000004630.18	Pcp2	protein_coding	2	3.75704206704375	0.0063294937195035	2.19839336032695	3.30457843065259	-2.05755838096334	-4.15504495032537	-2.67648130076811	4.73172029281405	-4.39798456383997	-1.07974970230696	0.487659863071457	0.611405814132907
