feature_id	feature_name	bioType	annotationLevel	SAMPLE_01	SAMPLE_02	SAMPLE_03	SAMPLE_04	SAMPLE_05	SAMPLE_06	SAMPLE_07	SAMPLE_08	SAMPLE_09	SAMPLE_10	SAMPLE_11	SAMPLE_12
FEAT00000	Feature0	protein_coding	1	6.909558013653232	6.335873047799812	5.967384231259649	5.654825076448928	5.62146121426797	6.96408331341846	8.32232538347496	8.05884333592509	7.810603895647063	7.35288095391838	7.978196066456759	8.542507821620818
FEAT00001	Feature1	lncRNA	3	6.361968726914446	6.461145525216604	6.464870464153553	6.6632476958158415	5.641684547769574	6.456252063837885	7.958357366149878	9.001745696579885	8.008635471103405	8.817222725422738	9.385657148678376	8.282836920273347
FEAT00002	Feature2	miRNA	2	5.090778538001485	5.566583644751221	5.4505068727101476	4.855554480871738	5.728275938703592	6.66103392136081	7.562555158929571	7.5956966384502085	7.090463141947555	7.908875427100935	6.96923662126443	7.0532637414781165
FEAT00003	Feature3	pseudogene	3	4.986616685591725	3.6755444868486657	4.867630864084255	5.133431124755136	4.374412196971497	4.550851164195946	8.231551057141276	6.9421634496897795	6.70439701276424	6.248261852059444	7.085224739137017	7.9476870174801935
FEAT00004	Feature4	protein_coding	3	5.666415658497074	4.525403684805781	4.577433199356998	4.788155692051977	5.266019279153761	4.967471573394345	8.150817810766998	8.200189070328417	7.842881291494081	7.998041078539384	8.14610086983077	7.971763621381244
FEAT00005	Feature5	lncRNA	1	4.318819409003506	5.1392323540038785	4.3718902608695736	4.050193217852207	3.0050357159899264	4.249481141616196	4.587828398019248	4.910414993385899	6.268618996560832	6.17957648116157	5.665872046070241	4.7298287813882425
FEAT00006	Feature6	miRNA	3	5.897478095060367	5.713044214265263	6.502391652873003	7.474925524651396	6.250445497967671	5.6527005283756075	7.772103587306017	8.440777937026986	8.368358589379797	7.783523009771466	8.54424764690326	7.783886392701433
FEAT00007	Feature7	pseudogene	3	9.347694854146647	9.318020854581961	9.33128125028692	8.396000208743951	8.98914282909992	8.601188787977453	10.957919834458462	10.987719677014711	10.411377907479462	10.324888853762879	11.667795945825578	11.076465828948239
FEAT00008	Feature8	protein_coding	1	5.1454418735739145	5.616613195969812	3.975707465887696	4.545108918607804	5.120787868976382	5.250843834896684	6.518115108264986	7.361867318124354	6.870596741803427	6.016330495208928	6.185901512911257	7.227642414802418
FEAT00009	Feature9	lncRNA	2	5.037349074233755	3.6196134569561584	5.567677582677565	5.117866419016451	5.565055992978018	4.5288296717150685	6.879325612978064	6.380875094926669	8.578907087856592	6.951476810533171	8.009269261026628	6.668373874945093
FEAT00010	Feature10	miRNA	3	7.077988815770257	5.976872608428348	6.749963811110335	7.569937045410413	6.228637811025698	7.623020627331163	8.982107094915872	8.15339385041624	8.47880604255139	8.504324999383545	8.750052802641292	8.458078025840939
